City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Butaritari,99,KI,1619282591,73,3.0707,172.7902,301.01,4.14
Tuktoyaktuk,75,CA,1619282131,79,69.4541,-133.0374,265.15,2.06
Mar del Plata,40,AR,1619282134,60,-38.0023,-57.5575,293.15,7.2
Luganville,89,VU,1619282591,86,-15.5333,167.1667,299.41,2.72
Lüderitz,1,NA,1619282591,79,-26.6481,15.1594,290.97,2.91
Virginia Beach,90,US,1619282592,48,36.8529,-75.978,292.59,3.6
Gambēla,96,ET,1619282592,76,8.25,34.5833,297.35,2.42
Port Lincoln,3,AU,1619282594,68,-34.7333,135.8667,287.65,1.75
Coahuayana Viejo,40,MX,1619282134,32,18.7333,-103.6833,301.15,2.53
Rikitea,100,PF,1619282594,71,-23.1203,-134.9692,299.04,6.9
Hilo,90,US,1619282595,78,19.7297,-155.09,294.15,2.56
Avarua,75,CK,1619282243,78,-21.2078,-159.775,299.15,6.17
Khedbrahma,100,IN,1619282596,28,24.0333,73.05,303.58,1.79
Cherskiy,100,RU,1619282596,96,68.75,161.3,266.03,1.83
Hay River,99,CA,1619282379,68,60.8156,-115.7999,266.15,3.6
Taoudenni,0,ML,1619282596,7,22.6783,-3.9836,312.91,6.67
Salalah,19,OM,1619282299,73,17.0151,54.0924,301.22,3.38
Chui,100,UY,1619282130,66,-33.6971,-53.4616,295.22,4.02
Kulhudhuffushi,66,MV,1619282533,70,6.6221,73.07,302.09,1.86
Russell,75,US,1619282598,73,32.3502,-85.1999,295.15,3.09
Ilulissat,75,GL,1619282137,60,69.2167,-51.1,277.15,2.06
Mariental,0,NA,1619282598,16,-24.6333,17.9667,297.59,3.76
Mataura,57,NZ,1619282151,78,-46.1927,168.8643,282.04,3.58
George Town,20,MY,1619281849,78,5.4112,100.3354,301.48,1.54
Qaanaaq,100,GL,1619282599,65,77.484,-69.3632,270.97,3.78
Saint-Pierre,45,RE,1619282565,88,-21.3393,55.4781,298.15,12.86
Hermanus,97,ZA,1619282599,76,-34.4187,19.2345,291.48,5.61
Lebedyan',73,RU,1619282599,70,53.0194,39.1664,277.14,6.07
Puerto Ayora,75,EC,1619282161,78,-0.7393,-90.3518,300.15,5.66
Walvis Bay,21,NA,1619282600,68,-22.9575,14.5053,292.15,6.17
Yokadouma,100,CM,1619282600,80,3.5167,15.05,296.95,1.34
Busselton,1,AU,1619282138,92,-33.65,115.3333,285.37,0.52
Saldanha,91,ZA,1619282193,56,-33.0117,17.9442,293.15,4.12
Atuona,36,PF,1619282136,75,-9.8,-139.0333,300.05,9.64
Imbituba,20,BR,1619282600,69,-28.24,-48.6703,298.15,3.6
Tasiilaq,75,GL,1619282154,70,65.6145,-37.6368,277.15,1.03
Westport,20,US,1619282440,41,41.1415,-73.3579,293.15,7.2
Lerwick,90,GB,1619282602,81,60.1545,-1.1494,280.15,5.14
Port Alfred,51,ZA,1619282138,84,-33.5906,26.891,293.36,4.86
Aquiraz,20,BR,1619282603,74,-3.9014,-38.3911,303.15,8.75
Nikolskoye,20,RU,1619282604,61,59.7035,30.7861,279.26,2.0
Pierre,1,US,1619282604,74,44.3683,-100.351,273.15,2.57
Bahía Solano,85,CO,1619282604,81,6.2262,-77.4044,300.82,1.84
Petrovsk-Zabaykal'skiy,100,RU,1619282604,57,51.273,108.843,281.34,1.08
Punta Arenas,0,CL,1619282522,87,-53.15,-70.9167,281.15,2.95
Alenquer,40,BR,1619282605,74,-1.9417,-54.7383,303.15,4.12
Geraldton,27,AU,1619282605,94,-28.7667,114.6,290.15,3.09
Lebu,2,CL,1619282324,69,-37.6167,-73.65,287.56,7.44
Basco,76,PH,1619282606,73,20.4487,121.9702,297.81,5.54
Jalu,5,LY,1619282606,37,29.0331,21.5482,298.35,12.78
Colares,20,PT,1619282606,72,38.7992,-9.4469,293.15,5.14
Atasū,100,KZ,1619282198,26,48.6814,71.6433,279.32,5.2
Faya,75,SA,1619282305,72,18.3851,42.4509,291.15,8.75
Arraial do Cabo,0,BR,1619282607,69,-22.9661,-42.0278,299.15,4.63
Bonthe,41,SL,1619282310,60,7.5264,-12.505,303.57,5.69
Albany,62,US,1619282607,22,42.6001,-73.9662,293.15,0.89
Upernavik,32,GL,1619282607,86,72.7868,-56.1549,274.5,1.28
Mildura,2,AU,1619282608,76,-34.2,142.15,284.15,3.09
Coyhaique,90,CL,1619282608,76,-45.5752,-72.0662,284.15,2.06
Hong Kong,37,HK,1619281932,85,22.2855,114.1577,298.15,0.45
Bonavista,56,CA,1619282197,53,48.6499,-53.1147,282.15,5.14
Vardø,100,NO,1619282609,93,70.3705,31.1107,274.03,10.56
Ţahţā,0,EG,1619282609,14,26.7693,31.5021,305.15,7.2
Daru,85,PG,1619282609,84,-9.0763,143.2092,299.84,2.47
Kapaa,75,US,1619282140,73,22.0752,-159.319,296.15,7.72
Cayenne,75,GF,1619282220,94,4.9333,-52.3333,298.15,3.09
Rodolfo Sánchez Taboada,28,MX,1619282610,74,31.7167,-116.5667,291.48,1.34
Chokurdakh,17,RU,1619282610,99,70.6333,147.9167,247.03,1.88
Makaha,75,US,1619282611,83,21.4694,-158.2175,295.15,2.06
Ushuaia,40,AR,1619282060,58,-54.8,-68.3,286.15,7.2
Raudeberg,90,NO,1619282612,56,61.9875,5.1352,279.26,5.66
Vostok,60,RU,1619282274,49,46.4856,135.8833,271.87,4.83
Saint-Philippe,87,RE,1619282613,88,-21.3585,55.7679,298.15,12.86
Wadi Maliz,40,TN,1619282613,38,36.4681,8.5495,296.15,2.57
Vaini,75,TO,1619282129,100,-21.2,-175.2,294.15,3.03
Monrovia,75,LR,1619282187,66,6.3005,-10.7969,305.15,4.63
Omsukchan,44,RU,1619282273,99,62.5333,155.8,249.64,2.25
Kruisfontein,93,ZA,1619282171,91,-34.0033,24.7314,288.71,1.34
Jitra,40,MY,1619282614,89,6.2681,100.4217,299.15,1.03
Bubaque,3,GW,1619282192,68,11.2833,-15.8333,299.06,9.46
